pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000270,Alessandro Deiola,MF,Cagliari,ITA,32,1951,1,0,0,55.56,0.04,71.49,0,0,0
left_000271,Alessandro Dellavalle,DF,Torino,ITA,1,15,0,0,0,0,0,83.33,0,0,0
left_000272,Alessandro Di Pardo,"DF,MF, DF",Cagliari,ITA,16,367,0,0,0,25,0,65.91,0,0,0
left_000273,Alessandro Florenzi,DF,Milan,ITA,37,1935,1,4,0,51.02,0.03,81.78,0,0,0
left_000274,Alessandro Marcandalli,DF,Genoa,ITA,2,135,0,0,0,0,0,81.67,0,0,0
left_000275,Alessandro Russo,GK,Sassuolo,ITA,1,90,0,0,0,0,0,74,57.14,0,0
left_000276,Alessandro Sorrentino,GK,Monza,ITA,7,548,0,0,0,0,0,76.68,50,0,0
left_000277,Alessandro Tagle,DF,Monterrey,MEX,1,61,0,0,0,0,0,75,0,0,0
left_000278,Alessandro Tuia,DF,Lecce,ITA,7,509,0,0,0,60,0,69.61,0,0,0
left_000279,Alessandro Vogliacco,DF,Genoa,ITA,20,1169,0,1,0,65.22,0,78.91,0,0,0
left_000280,Alessandro Zanoli,"DF, DF,FW","Salernitana, Udinese, Sampdoria, Napoli",ITA,46,2623,2,5,0,70,0.11,76.26,0,0,0
left_000281,Alessio Castro-Montes,"DF,MF, DF, DF,FW","Gent, Köln, Union SG",BEL,67,4817,5,9,0,65.1,0.1,74.74,0,0,0
left_000282,Alessio Cragno,GK,"Sassuolo, Monza",ITA,4,360,0,0,0,0,0,74.81,52.63,0,0
left_000283,Alessio Romagnoli,DF,Lazio,ITA,66,5603,2,0,0,57.14,0.08,90.85,0,0,0
left_000284,Alessio Zerbin,"FW,DF, FW, DF, DF,FW","Cremonese, Napoli, Monza",ITA,35,1408,0,2,0,50,0,76.5,0,0,0
left_000285,Alessio da Cruz,"MF,FW, FW,MF, FW","Mechelen, Fortuna Sittard",CPV,61,3400,8,4,0,64.71,0.17,76.07,0,0,0
left_000286,Alex Baena,"MF,FW, MF","Villarreal, Atlético Madrid",ESP,71,4594,8,17,0,59.38,0.06,74.62,0,0,0
left_000287,Alex Balboa,MF,Almere City,EQG,10,405,1,0,0,28.57,0.12,70.16,0,0,0
left_000288,Alex Bangura,DF,Cambuur,SLE,29,2449,1,3,0,65.85,0.11,77.55,0,0,0
left_000289,Alex Cordaz,GK,Inter,ITA,1,26,0,0,0,0,0,55,100,100,0
left_000290,Alex Ferrari,DF,"Sampdoria, Cremonese",ITA,28,1875,0,0,0,57.14,0,79.1,0,0,0
left_000291,Alex Gutiérrez,MF,Necaxa,MEX,1,5,0,0,0,0,0,0,0,0,0
left_000292,Alex Iwobi,"MF,FW, FW,MF, MF","Everton, Fulham",NGA,77,6251,8,11,0,54.81,0.07,76.31,0,0,0
left_000293,Alex Král,MF,"Union Berlin, Schalke 04",CZE,56,3837,0,0,0,71.43,0,69.5,0,0,0
left_000294,Alex Marques,DF,Boavista,POR,2,99,0,0,0,100,0,77.55,0,0,0
left_000295,Alex Matos,MF,Chelsea,ENG,1,1,0,0,0,0,0,0,0,0,0
left_000296,Alex McCarthy,GK,Southampton,ENG,6,540,0,0,0,0,0,60.24,46.67,0,0
left_000297,Alex Mendez,"MF,FW, FW,MF","FC Juárez, Vizela",USA,47,1850,1,3,0,50,0.03,76.41,0,0,0
