Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty,TklW_Percent
Christalino Atemona,GER,['Kortrijk'],"['DF,MF', 'DF']",12,635.0,0,1,0,0.0,67.12,0.0,0.0,0.0,50.0
Christantus Uche,NGA,"['Getafe', 'Crystal Palace']","['MF', 'FW']",4,277.0,1,1,0,0.14,61.82,0.0,0.0,0.0,100.0
Christiaan Ravych,BEL,['Cercle Brugge'],['DF'],69,5205.0,2,2,0,0.09,67.89,0.0,0.0,0.0,66.42
Christian Acella,ITA,['Cremonese'],['MF'],1,15.0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
Christian Brüls,BEL,"['Sint-Truiden', 'Zulte Waregem']","['MF,FW']",33,2273.0,1,5,1,0.03,70.33,0.0,0.0,0.0,68.52
Christian Burgess,ENG,['Union SG'],['DF'],80,7089.0,4,3,0,0.07,83.98,0.0,0.0,0.0,55.47
Christian Castillo,MEX,['Querétaro'],['FW'],1,45.0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0
Christian Eriksen,DEN,"['Manchester Utd', 'Wolfsburg']",['MF'],52,3241.0,2,10,0,0.04,80.73,0.0,0.0,0.0,76.19
Christian Groß,GER,['Werder Bremen'],"['MF', 'DF,MF']",46,2683.0,1,2,0,0.11,82.56,0.0,0.0,0.0,53.25
Christian Gytkjær,DEN,['Monza'],"['FW,MF']",22,559.0,1,0,0,0.08,67.65,0.0,0.0,0.0,33.33
Christian Günter,GER,['Freiburg'],"['DF,MF', 'DF']",50,3978.0,2,7,0,0.06,72.83,0.0,0.0,0.0,67.35
Christian Kabasele,BEL,['Udinese'],['DF'],13,861.0,1,1,0,0.14,81.85,0.0,0.0,0.0,70.0
Christian Kofane,CMR,['Leverkusen'],"['FW,MF']",5,103.0,0,0,0,0.0,94.12,0.0,0.0,0.0,0.0
Christian Kouamé,CIV,['Fiorentina'],['FW'],51,2955.0,6,5,0,0.09,71.51,0.0,0.0,0.0,55.0
Christian Kühlwetter,GER,['Heidenheim'],['MF'],1,8.0,0,1,0,0.0,50.0,0.0,0.0,0.0,0.0
