Player,Nation,Born,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,Sh_Standard,SoT_Standard,FK_Standard,Cmp_Total,Att_Total,xAG,KP,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Tkl_Tackles,TklW_Tackles,Sh_Blocks,Int,Clr,Err,GA,SoTA,Saves,CS,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Gls_Per,Ast_Per,xG_Per,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Cmp_percent_Total,GA90,Save_percent,CS_Percent,Save_percent_Penalty
Tim Breithaupt,GER,2002.0,['Augsburg'],['MF'],16,629.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3.0,0.0,0.0,232,281,0.1,3,12.0,4.0,0.0,2.0,0.0,0.0,0.0,20,11,3,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,82.56,0.0,0.0,0.0,0.0
Tim Drexler,GER,2005.0,['Hoffenheim'],['DF'],8,573.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,349,0.0,1,4.0,5.0,0.0,0.0,0.0,0.0,0.0,16,9,8,8,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26,0.0,0.0,0.0,0.0
Tim Handwerker,GER,1998.0,['Utrecht'],"['FW,DF']",2,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Tim Iroegbunam,ENG,2003.0,"['Everton', 'Aston Villa']",['MF'],13,384.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,3.0,0.0,0.0,97,119,0.0,0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,10,7,5,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,81.51,0.0,0.0,0.0,0.0
Tim Kleindienst,GER,1995.0,['Heidenheim'],['FW'],33,2869.0,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,81.0,31.0,0.0,516,874,3.3,27,88.0,13.0,16.0,19.0,0.0,0.0,0.0,21,12,8,12,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.09,0.44,38.27,0.15,0.39,59.04,0.0,0.0,0.0,0.0
Tim Lemperle,GER,2002.0,"['Hoffenheim', 'Köln']","['FW,MF', 'FW']",17,462.0,2,1,3,1,1,1,0,0,1.9000000000000001,1.1,1.8,3.0,9.0,5.0,0.0,85,133,1.8,9,7.0,7.0,3.0,4.0,1.0,0.0,0.0,11,9,0,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.19,0.37,55.56,0.22,0.4,63.91,0.0,0.0,0.0,0.0
Tim Oermann,GER,2003.0,['Bochum'],['DF'],20,908.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5.0,0.0,0.0,220,313,0.3,4,11.0,8.0,0.0,8.0,0.0,0.0,0.0,21,12,8,3,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,70.29,0.0,0.0,0.0,0.0
Tim Ream,USA,1987.0,['Fulham'],['DF'],51,4400.0,2,0,2,2,0,0,6,1,1.3,1.3,0.1,1.4,4.0,3.0,0.0,2606,2982,0.1,3,26.0,13.0,2.0,5.0,0.0,3.0,0.0,50,25,39,66,177,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,75.0,0.5,0.67,87.39,0.0,0.0,0.0,0.0
Tim Receveur,NED,1991.0,['Almere City'],['MF'],4,133.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,45,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0
Tim Siersleben,GER,2000.0,['Heidenheim'],['DF'],17,1087.0,0,0,0,0,0,0,1,0,0.30000000000000004,0.30000000000000004,0.5,0.7999999999999999,5.0,1.0,0.0,517,638,0.5,3,19.0,9.0,0.0,2.0,0.0,2.0,0.0,31,14,11,25,42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,20.0,0.0,0.0,81.03,0.0,0.0,0.0,0.0
