Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Jarrad Branthwaite,England,DF,"['Everton', 'PSV Eindhoven']",62,5108.0,5,1,0,0.16,83.25,51.69
Jarrod Bowen,England,FW,['West Ham'],78,6792.0,25,11,1,0.15,66.18,54.02
Jasin Assehnoun,FIN,FW,['Emmen'],29,731.0,1,1,0,0.06,75.46,63.64
Jason,Spain,Other,['Arouca'],66,4818.0,11,6,1,0.09,64.14,62.5
Jason Bahamboula,CGO,MF,['Vitória'],1,9.0,0,0,0,0.0,0.0,0.0
Jason Berthomier,France,MF,['Clermont Foot'],2,23.0,0,0,0,0.0,100.0,0.0
Jason Davidson,AUS,DF,['Eupen'],61,4992.0,1,0,0,0.03,71.45,73.56
Jason Lokilo,Belgium,FW,"['Vizela', ""Sparta R'dam""]",17,972.0,1,1,0,0.06,78.59,55.56
Jason Mbock,France,Other,['Angers'],2,25.0,0,0,0,0.0,60.0,0.0
Jason Steele,England,GK,['Brighton'],32,2880.0,0,1,0,0.0,86.33,0.0
Jason Van Duiven,Netherlands,Other,['Almere City'],13,292.0,0,0,0,0.0,49.37,50.0
Jasper Cillessen,Netherlands,GK,['NEC Nijmegen'],62,5520.0,0,0,0,0.0,66.21,0.0
Jasper Dahlhaus,Netherlands,Other,['Fortuna Sittard'],31,1761.0,2,2,0,0.12,67.82,60.98
Jasper Schendelaar,Netherlands,GK,['Zwolle'],62,5580.0,0,2,0,0.0,66.44,100.0
Jasper Ter Heide,Netherlands,Other,['Cambuur'],4,90.0,1,0,0,1.0,55.56,100.0
Jasper Van Oudenhove,Belgium,Other,['Dender'],7,153.0,0,0,0,0.0,61.02,50.0
Jastin García,Spain,FW,['Girona'],3,32.0,0,0,0,0.0,63.64,0.0
Jaume Costa,Spain,DF,['Mallorca'],62,4281.0,0,2,0,0.0,73.49,63.64
Jaume Doménech,Spain,GK,['Valencia'],2,79.0,0,0,0,0.0,41.94,0.0
Jaume Grau,Spain,MF,['AVS Futebol'],29,2119.0,2,2,0,0.14,79.53,61.54
Javairô Dilrosun,Netherlands,Other,"['América', 'Feyenoord']",71,3860.0,8,11,0,0.09,78.08,65.96
Javi Galán,Spain,DF,"['Celta Vigo', 'Atlético Madrid', 'Real Sociedad']",60,4427.0,0,4,0,0.0,77.91,66.89
Javi Hernández,Spain,DF,"['Girona', 'Cádiz']",55,3630.0,2,4,0,0.04,75.25,56.25
Javi López,Spain,DF,"['Oviedo', 'Alavés']",33,2450.0,1,3,0,0.06,68.83,52.17
Javi Montero,Spain,DF,['Arouca'],29,2587.0,1,1,0,0.2,84.04,71.43
Javi Puado,Spain,Other,['Espanyol'],44,2911.0,9,2,1,0.13,76.67,54.17
Javi Rodríguez,Spain,DF,['Celta Vigo'],6,396.0,0,0,0,0.0,91.1,63.64
Javi Sánchez,Spain,DF,['Valladolid'],32,2392.0,1,0,0,0.11,81.87,60.47
Javier Aquino,Mexico,DF,['UANL'],81,6681.0,0,5,0,0.0,80.87,64.0
Javier Eduardo López,Mexico,Other,['Pachuca'],54,2021.0,10,8,0,0.19,76.86,66.67
Javier Guerra,Spain,MF,['Valencia'],53,3531.0,5,3,0,0.08,74.03,50.65
Javier Güemez,Mexico,MF,"['Santos', 'Atlético']",98,7521.0,6,11,0,0.06,82.63,58.64
Javier Hernández,Mexico,FW,['Guadalajara'],23,1139.0,2,1,0,0.09,71.76,57.14
