id1,id2,score,notes
FBRef_006024,TM_021395,0.908946609,comparators=4
FBRef_004874,TM_008753,0.908429487,comparators=4
FBRef_006935,TM_040306,0.907725564,comparators=4
FBRef_001848,TM_038012,0.907532468,comparators=4
FBRef_007410,TM_009018,0.907460317,comparators=4
FBRef_004796,TM_046901,0.907222222,comparators=4
FBRef_000720,TM_029094,0.907222222,comparators=4
FBRef_000331,TM_045730,0.907111111,comparators=4
FBRef_000818,TM_045452,0.907102453,comparators=4
FBRef_004765,TM_014020,0.907047683,comparators=4
FBRef_002745,TM_048017,0.906594982,comparators=4
FBRef_003936,TM_056935,0.906373068,comparators=4
FBRef_001567,TM_049519,0.905909646,comparators=4
FBRef_007295,TM_034530,0.905238095,comparators=4
FBRef_003283,TM_040560,0.904531746,comparators=4
FBRef_005494,TM_006861,0.904235294,comparators=4
FBRef_004740,TM_044408,0.903589744,comparators=4
FBRef_007268,TM_037879,0.903360853,comparators=4
FBRef_005188,TM_021589,0.902934473,comparators=4
FBRef_002568,TM_042165,0.902303922,comparators=4
FBRef_000606,TM_056609,0.900765857,comparators=4
FBRef_002271,TM_044435,0.898968254,comparators=4
FBRef_003104,TM_031339,0.898787879,comparators=4
FBRef_000815,TM_035856,0.89791181,comparators=4
FBRef_004779,TM_005702,0.897719298,comparators=4
FBRef_007441,TM_035637,0.897117303,comparators=4
FBRef_001556,TM_018668,0.896666667,comparators=4
FBRef_004832,TM_035056,0.896498918,comparators=4
FBRef_005798,TM_056519,0.895396825,comparators=4
FBRef_003501,TM_029892,0.894848485,comparators=4
FBRef_003329,TM_000353,0.894484127,comparators=4
FBRef_004097,TM_022366,0.894346154,comparators=4
FBRef_000178,TM_056275,0.894325397,comparators=4
FBRef_003643,TM_042854,0.894065657,comparators=4
FBRef_003880,TM_011888,0.891825397,comparators=4
FBRef_005811,TM_046647,0.890849673,comparators=4
FBRef_004662,TM_022293,0.890568182,comparators=4
FBRef_001466,TM_010227,0.890164021,comparators=4
FBRef_001030,TM_014434,0.890125541,comparators=4
FBRef_003254,TM_014782,0.89,comparators=4
FBRef_003338,TM_036946,0.889819625,comparators=4
FBRef_005890,TM_022619,0.889750233,comparators=4
FBRef_001864,TM_040735,0.889292929,comparators=4
FBRef_000681,TM_032068,0.888429392,comparators=4
FBRef_004659,TM_063098,0.888377897,comparators=4
FBRef_005870,TM_026322,0.888333333,comparators=4
FBRef_002599,TM_057046,0.887953746,comparators=4
FBRef_006046,TM_020762,0.88760101,comparators=4
FBRef_000634,TM_064987,0.887407407,comparators=4
FBRef_005598,TM_049606,0.886819292,comparators=4
FBRef_004560,TM_036573,0.886190476,comparators=4
FBRef_004649,TM_007099,0.885677145,comparators=4
FBRef_000418,TM_033312,0.885,comparators=4
FBRef_000696,TM_036607,0.884908425,comparators=4
FBRef_005573,TM_007030,0.884786325,comparators=4
FBRef_001087,TM_021945,0.883118581,comparators=4
FBRef_005864,TM_011694,0.883055556,comparators=4
FBRef_002187,TM_013587,0.882733214,comparators=4
FBRef_006375,TM_023733,0.881507937,comparators=4
FBRef_002473,TM_014530,0.881333333,comparators=4
FBRef_004213,TM_040414,0.881333333,comparators=4
FBRef_002781,TM_043912,0.881333333,comparators=4
FBRef_004094,TM_058996,0.881333333,comparators=4
FBRef_000883,TM_015285,0.881227106,comparators=4
FBRef_002563,TM_018186,0.88107546,comparators=4
FBRef_001378,TM_034177,0.880613276,comparators=4
FBRef_003071,TM_035132,0.880176768,comparators=4
FBRef_003179,TM_028596,0.879684719,comparators=4
FBRef_006873,TM_001343,0.879509454,comparators=4
FBRef_007085,TM_016385,0.879497354,comparators=4
FBRef_003449,TM_055352,0.879206349,comparators=4
FBRef_006539,TM_041558,0.879206349,comparators=4
FBRef_007318,TM_034795,0.879023569,comparators=4
FBRef_000646,TM_027556,0.87875,comparators=4
FBRef_002955,TM_027475,0.878616939,comparators=4
FBRef_002460,TM_015578,0.878595411,comparators=4
FBRef_004095,TM_043172,0.876717949,comparators=4
FBRef_003502,TM_031131,0.876717949,comparators=4
FBRef_006143,TM_059641,0.876666667,comparators=4
FBRef_004794,TM_033059,0.876666667,comparators=4
FBRef_002354,TM_014471,0.876666667,comparators=4
FBRef_002509,TM_000178,0.876666667,comparators=4
FBRef_006326,TM_037082,0.876666667,comparators=4
FBRef_005980,TM_053055,0.876666667,comparators=4
FBRef_002010,TM_003770,0.876666667,comparators=4
FBRef_003131,TM_015432,0.876666667,comparators=4
